timestamp;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion
2025-06-01 00:00;0;0;0
2025-06-01 00:15;0;0;0
2025-06-01 00:30;0;0;0
2025-06-01 00:45;0;0;0
2025-06-01 01:00;0;0;0
2025-06-01 01:15;0;0;0
2025-06-01 01:30;0;0;0
2025-06-01 01:45;0;0;0
2025-06-01 02:00;0;0;0
2025-06-01 02:15;0;0;0
2025-06-01 02:30;0;0;0
2025-06-01 02:45;0;0;0
2025-06-01 03:00;0;0;0
2025-06-01 03:15;0;0;0
2025-06-01 03:30;0;0;0
2025-06-01 03:45;0;0;0
2025-06-01 04:00;0;0;0
2025-06-01 04:15;0;0;0
2025-06-01 04:30;0;0;0
2025-06-01 04:45;2;0;2
2025-06-01 05:00;4;3;7
2025-06-01 05:15;28;9;37
2025-06-01 05:30;28;9;37
2025-06-01 05:45;44;14;58
2025-06-01 06:00;82;23;105
2025-06-01 06:15;128;27;155
2025-06-01 06:30;174;34;208
2025-06-01 06:45;340;48;388
2025-06-01 07:00;328;48;376
2025-06-01 07:15;452;50;502
2025-06-01 07:30;514;56;570
2025-06-01 07:45;558;61;619
2025-06-01 08:00;568;60;628
2025-06-01 08:15;652;59;711
2025-06-01 08:30;818;93;911
2025-06-01 08:45;570;105;675
2025-06-01 09:00;682;123;805
2025-06-01 09:15;820;141;961
2025-06-01 09:30;818;158;976
2025-06-01 09:45;858;174;1032
2025-06-01 10:00;902;205;1107
2025-06-01 10:15;734;203;937
2025-06-01 10:30;864;226;1090
2025-06-01 10:45;868;228;1096
2025-06-01 11:00;1082;277;1359
2025-06-01 11:15;908;229;1137
2025-06-01 11:30;842;249;1091
2025-06-01 11:45;1038;249;1287
2025-06-01 12:00;880;279;1159
2025-06-01 12:15;748;215;963
2025-06-01 12:30;800;221;1021
2025-06-01 12:45;1080;220;1300
2025-06-01 13:00;548;204;752
2025-06-01 13:15;556;177;733
2025-06-01 13:30;316;94;410
2025-06-01 13:45;222;94;316
2025-06-01 14:00;1266;456;1722
2025-06-01 14:15;1088;479;1567
2025-06-01 14:30;968;442;1410
2025-06-01 14:45;924;432;1356
2025-06-01 15:00;896;431;1327
2025-06-01 15:15;864;417;1281
2025-06-01 15:30;640;307;947
2025-06-01 15:45;674;327;1001
2025-06-01 16:00;674;332;1006
2025-06-01 16:15;730;393;1123
2025-06-01 16:30;558;323;881
2025-06-01 16:45;482;305;787
2025-06-01 17:00;498;391;889
2025-06-01 17:15;372;297;669
2025-06-01 17:30;208;123;331
2025-06-01 17:45;264;182;446
2025-06-01 18:00;334;342;676
2025-06-01 18:15;274;386;660
2025-06-01 18:30;172;356;528
2025-06-01 18:45;112;296;408
2025-06-01 19:00;84;241;325
2025-06-01 19:15;68;155;223
2025-06-01 19:30;60;42;102
2025-06-01 19:45;64;41;105
2025-06-01 20:00;48;30;78
2025-06-01 20:15;24;16;40
2025-06-01 20:30;4;1;5
2025-06-01 20:45;0;0;0
2025-06-01 21:00;0;0;0
2025-06-01 21:15;0;0;0
2025-06-01 21:30;0;0;0
2025-06-01 21:45;0;0;0
2025-06-01 22:00;0;0;0
2025-06-01 22:15;0;0;0
2025-06-01 22:30;0;0;0
2025-06-01 22:45;0;0;0
2025-06-01 23:00;0;0;0
2025-06-01 23:15;0;0;0
2025-06-01 23:30;0;0;0
2025-06-01 23:45;0;0;0
2025-06-02 00:00;0;0;0
2025-06-02 00:15;0;0;0
2025-06-02 00:30;0;0;0
2025-06-02 00:45;0;0;0
2025-06-02 01:00;0;0;0
2025-06-02 01:15;0;0;0
2025-06-02 01:30;0;0;0
2025-06-02 01:45;0;0;0
2025-06-02 02:00;0;0;0
2025-06-02 02:15;0;0;0
2025-06-02 02:30;0;0;0
2025-06-02 02:45;0;0;0
2025-06-02 03:00;0;0;0
2025-06-02 03:15;0;0;0
2025-06-02 03:30;0;0;0
2025-06-02 03:45;0;0;0
2025-06-02 04:00;0;0;0
2025-06-02 04:15;0;0;0
2025-06-02 04:30;0;0;0
2025-06-02 04:45;2;2;4
2025-06-02 05:00;8;8;16
2025-06-02 05:15;30;13;43
2025-06-02 05:30;58;19;77
2025-06-02 05:45;76;27;103
2025-06-02 06:00;102;36;138
2025-06-02 06:15;128;42;170
2025-06-02 06:30;108;33;141
2025-06-02 06:45;170;39;209
2025-06-02 07:00;332;49;381
2025-06-02 07:15;426;48;474
2025-06-02 07:30;470;52;522
2025-06-02 07:45;546;67;613
2025-06-02 08:00;492;86;578
2025-06-02 08:15;452;125;577
2025-06-02 08:30;332;107;439
2025-06-02 08:45;386;88;474
2025-06-02 09:00;550;142;692
2025-06-02 09:15;610;165;775
2025-06-02 09:30;520;160;680
2025-06-02 09:45;434;147;581
2025-06-02 10:00;640;168;808
2025-06-02 10:15;530;177;707
2025-06-02 10:30;446;141;587
2025-06-02 10:45;240;110;350
2025-06-02 11:00;512;197;709
2025-06-02 11:15;486;169;655
2025-06-02 11:30;478;167;645
2025-06-02 11:45;654;216;870
2025-06-02 12:00;544;202;746
2025-06-02 12:15;612;223;835
