timestamp;Solarproduktion Tracker 1;Solarproduktion Tracker 2;Solarproduktion
2025-12-01 00:00;0;0;0
2025-12-01 00:15;0;0;0
2025-12-01 00:30;0;0;0
2025-12-01 00:45;0;0;0
2025-12-01 01:00;0;0;0
2025-12-01 01:15;0;0;0
2025-12-01 01:30;0;0;0
2025-12-01 01:45;0;0;0
2025-12-01 02:00;0;0;0
2025-12-01 02:15;0;0;0
2025-12-01 02:30;0;0;0
2025-12-01 02:45;0;0;0
2025-12-01 03:00;0;0;0
2025-12-01 03:15;0;0;0
2025-12-01 03:30;0;0;0
2025-12-01 03:45;0;0;0
2025-12-01 04:00;0;0;0
2025-12-01 04:15;0;0;0
2025-12-01 04:30;0;0;0
2025-12-01 04:45;0;0;0
2025-12-01 05:00;0;0;0
2025-12-01 05:15;0;0;0
2025-12-01 05:30;0;0;0
2025-12-01 05:45;0;0;0
2025-12-01 06:00;0;0;0
2025-12-01 06:15;0;0;0
2025-12-01 06:30;0;0;0
2025-12-01 06:45;0;0;0
2025-12-01 07:00;0;0;0
2025-12-01 07:15;0;0;0
2025-12-01 07:30;0;0;0
2025-12-01 07:45;0;0;0
2025-12-01 08:00;0;0;0
2025-12-01 08:15;0;1;1
2025-12-01 08:30;16;5;21
2025-12-01 08:45;64;10;74
2025-12-01 09:00;294;16;310
2025-12-01 09:15;360;18;378
2025-12-01 09:30;388;20;408
2025-12-01 09:45;556;27;583
2025-12-01 10:00;646;29;675
2025-12-01 10:15;612;28;640
2025-12-01 10:30;668;32;700
2025-12-01 10:45;782;52;834
2025-12-01 11:00;860;77;937
2025-12-01 11:15;864;103;967
2025-12-01 11:30;840;127;967
2025-12-01 11:45;622;115;737
2025-12-01 12:00;514;104;618
2025-12-01 12:15;574;118;692
2025-12-01 12:30;738;161;899
2025-12-01 12:45;824;199;1023
2025-12-01 13:00;820;219;1039
2025-12-01 13:15;742;218;960
2025-12-01 13:30;686;219;905
2025-12-01 13:45;656;227;883
2025-12-01 14:00;554;206;760
2025-12-01 14:15;648;252;900
2025-12-01 14:30;572;246;818
2025-12-01 14:45;478;226;704
2025-12-01 15:00;366;195;561
2025-12-01 15:15;290;160;450
2025-12-01 15:30;204;96;300
2025-12-01 15:45;128;59;187
2025-12-01 16:00;64;31;95
2025-12-01 16:15;26;17;43
2025-12-01 16:30;2;5;7
2025-12-01 16:45;0;0;0
2025-12-01 17:00;0;0;0
2025-12-01 17:15;0;0;0
2025-12-01 17:30;0;0;0
2025-12-01 17:45;0;0;0
2025-12-01 18:00;0;0;0
2025-12-01 18:15;0;0;0
2025-12-01 18:30;0;0;0
2025-12-01 18:45;0;0;0
2025-12-01 19:00;0;0;0
2025-12-01 19:15;0;0;0
2025-12-01 19:30;0;0;0
2025-12-01 19:45;0;0;0
2025-12-01 20:00;0;0;0
2025-12-01 20:15;0;0;0
2025-12-01 20:30;0;0;0
2025-12-01 20:45;0;0;0
2025-12-01 21:00;0;0;0
2025-12-01 21:15;0;0;0
2025-12-01 21:30;0;0;0
2025-12-01 21:45;0;0;0
2025-12-01 22:00;0;0;0
2025-12-01 22:15;0;0;0
2025-12-01 22:30;0;0;0
2025-12-01 22:45;0;0;0
2025-12-01 23:00;0;0;0
2025-12-01 23:15;0;0;0
2025-12-01 23:30;0;0;0
2025-12-01 23:45;0;0;0
2025-12-02 00:00;0;0;0
2025-12-02 00:15;0;0;0
2025-12-02 00:30;0;0;0
2025-12-02 00:45;0;0;0
2025-12-02 01:00;0;0;0
2025-12-02 01:15;0;0;0
2025-12-02 01:30;0;0;0
2025-12-02 01:45;0;0;0
2025-12-02 02:00;0;0;0
2025-12-02 02:15;0;0;0
2025-12-02 02:30;0;0;0
2025-12-02 02:45;0;0;0
2025-12-02 03:00;0;0;0
2025-12-02 03:15;0;0;0
2025-12-02 03:30;0;0;0
2025-12-02 03:45;0;0;0
2025-12-02 04:00;0;0;0
2025-12-02 04:15;0;0;0
2025-12-02 04:30;0;0;0
2025-12-02 04:45;0;0;0
2025-12-02 05:00;0;0;0
2025-12-02 05:15;0;0;0
2025-12-02 05:30;0;0;0
2025-12-02 05:45;0;0;0
2025-12-02 06:00;0;0;0
2025-12-02 06:15;0;0;0
2025-12-02 06:30;0;0;0
2025-12-02 06:45;0;0;0
2025-12-02 07:00;0;0;0
2025-12-02 07:15;0;0;0
2025-12-02 07:30;0;0;0
2025-12-02 07:45;0;0;0
2025-12-02 08:00;0;0;0
2025-12-02 08:15;4;3;7
